personLabel,personDescription
Leticia Montoya-Bello,botanist
Lina Susanti Juswara,botanist
Lois Eubank Egerod,botanist
Louise Elizabeth Phillips,botanist
Maria Elena Medina,botanist
Marie Noelle Dury,botanist
Marie-Thérèse L'Hardy-Halos,botanist
Marina E. Oganesian,botanist
Miriam Kaehler,botanist
N.M. Czernova,botanist
O.D. Nikiforova,botanist
Olga Nikolayevna Demina,botanist
Patricia L. Packard,botanist
Rebecca Wilcox Dolan,botanist
Ruth Bone,botanist
Sandra Margaret Burrows,botanist
Sue Edwards,botanist
T.G. Derviz-Sokolova,botanist
Tiziana Cusma-Velari,botanist
Ursula Matthäs,botanist
Yulia Konstantinovna Maitulina,botanist
Agnes McLaren,British doctor
Wendy Taylor,experimental particle physicist
Krystyna Hołderna-Natkaniec,Polish physicist
Gunda Georg,"Professor of Chemistry, University of Minnesota"
Gimalova  Fanuza Arslanovna,russische Chemikerin
Jeanne W. Ross,American computer scientist
Judith Pardo,Chilean biologist
Maharani Chakravorty,Indian biologist
Teresa Maria Winiarska,
Andrea Bertozzi,American mathematician
Arati Prabhakar,American engineer
Hilda Tellioğlu,österreichische Informatikerin
O. A. Semikhatova,Russian botanist (1921-2017)
Katharina Ribbeck,German-American biochemist and biophysicist
Ana María Rodríguez,American writer
Anthea Phillipps,botanist
Dušanka Đokić,Serbian physicist
Heather Reid,British weather forecaster
Perla Dizon Santos-Ocampo,Filipino scientist
Marian H. Pettibone,Zoologe
Valja Stýblová,"Czech politician, doctor and bookwriter"
Lidija Wassiljewna Blochina,russische ingenieurin
Anita Roberts,American biologist
Anne Simon,American biologist
Asha Kasliwal,
Robyn Mary Barker,Australian botanist
Vera Boyanova,russische Ärztin
Sudha Bhattacharya,Indian biologist
María del Carmen Pérez Martínez,spanische Ärztin und Politikerin
Patricia Sangenis,
Catherine A. Car,researcher
Evelyn Witthoff,American missionary
Mildred Fay Jefferson,American activist
Beatrice Allée,
Benedicta Lager,
Ethel Zoe Bailey,American botanist and curator (1889-1983)
Aymée Robainas Barcia,Spanish biologist
Angelika Rommel,botanist
Britt Snogerup,botanist
Elizabeth Mary Woodgyer,botanist
Estelle M. Ross,botanist
Jennifer Lynn Trusty,botanist
Lidiya Ivanovna Vassiljeva,botanist
Lucia Helena Soares-Silva,botanist
Maria Speranza,botanist
Maria-Carmen Terrasi,botanist
Narayanasami Rani,botanist
Prabha Sharma,botanist
Yumiko Ugadim,botanist
Yvonne Veyret,botanist
María Eugenia Sader,طبيبة فنزويلية
İzzət Oruczadə,Azerbaijani Soviet actor and chemist
Mary Pirie,Scottish botanist and teacher (1822-1885)
Ana Denicola,Uruguayan pharmacist
Karen Reynolds,Australian biomedical engineer and researcher
Raphaèle Herbin,French mathematician
Ernest Mae McCarroll,American physician
Jacqueline van Gorkom,Dutch astronomer
Laura Taalman,US maths prof
Anne Schuchat,American physician
Annie Lowrie Alexander,American physician
Rosa Dainelli,Italian doctor
Margaret Chung,American physician
Rowena Spencer,American physician
Sara Josephine Baker,American physician
Sarah Loguen Fraser,American physician
Ann Bishop,British biologist
Auguste von Bayern,German biologist and zoologist
Sophie Spitz,American pathologist
Avalon Roberts,Canadian politician
Sachiko Tsukida,Japanese biologist
Lenore Cowen,American mathematician and computer scientist
Zofia Maria Michalska,
Olga Otero,
Helen Lines,American amateur astronomer
Q55104402,Russian botanist (1933-2017)
Barbara Ważyńska,
Margaret Walshaw,
Monica Jackson,
Maria Thereza Lemos de Arruda Camargo,"brasilianische Ethnologin, Pharmabotanikerin und Anthropologin"
Mercè Durfort i Coll,Catalan biologist
Olimpia Valencia,spanische Ärztin und Gynäkologin
Pilar Careaga Basabe,first female engineer from Spain and also a politician
Rocío del Pilar Cortés-Ballén,Colombian botanist and agronomist
Aini Ideris,
Adelaida Avagyan,hygienist
Adelina Barrion,Filipino entomologist and geneticist
Adile Ayda,Turkish academic and diplomat
Eleanor Shelley-Rolls,British engineer
Alexandra Navrotsky,physical chemist in the field of nanogeoscience
Alice Bush,"Doctor, paediatrician, family planning activist"
Ann-Christin Bylund,Swedish biologist
Gertrude Mary Cox,American statistician
Mary Rees,British mathematician
Ulla Järvilehto,Finnish politician
Gunvor Svartz-Malmberg,physician
Margaret Wertheim,Australian writer
Nicole Doria-Rose,American biologist
Zofia Fischer-Malanowska,Polish biologist and ecologist
Margaret McFall-Ngai,
Christa Brosseau,Canadian chemist
Kopano Matlwa,South African writer
Sigrid Engström,Swedish politician
Bodil Jönsson,Swedish physicist
Bonnie Burnham Potter,United States Navy admiral
Ilya Espino de Marotta,engineer
Trota of Salerno,Medical practitioner and writer
Nina Einhorn,طبيبة سويدية
Anna Okopińska,Polish sportsperson and physicist
Barbara Andrejczyn,Polish politician and physician (1933-2015)
Brenda Laurel,video game developer
Mary Graustein,American mathematician and academic
Emma Strada,Italian engineer
Elisa Oricchio,Italian cancer researcher
Mary Odile Cahoon,"American Benedictine nun, biologist and Antarctic scientist"
Irena Szumiel,Polish biologist
Morgane Ammann,parasitologist
Iris Montero Muñoz,
Eleanore Wurtzel,researcher
Lora Aroyo,researcher
Sandra Wolin,researcher
Martha Ripley,American physician
Cleòpatra,Greek physician
Andrea Barthwell,American politician and doctor
Lisa Hensley,microbiologist
Anne Alvik,Norwegian physician and civil servant
Anuška Ferligoj,Slovenian mathematician
Barrie Lambert,Physician and medical administrator
Camilla Stoltenberg,Norwegian physician
Erica Frank,American medical researcher
Deborah Doniach,British medical doctor and immunologist (1912-2004)
Emily Bacon,First physician in Philadelphia to devote her practice exclusively to pediatrics
Jennie Smillie Robertson,Canadian physician and surgeon
Josephine Barnes,British obstetrician and gynaecologist
Louise McIlroy,British medical doctor
Margaret Turner-Warwick,British medical doctor and thoracic specialist
Norma Restieaux,New Zealand medical doctor and cardiologist
Patricia Baird,British medical geneticist
Sheila Sherlock,"Anglo-Irish physician, hepatologist and educator"
Saba Valadkhan,Iranian American biomedical scientist
Sheila Cassidy,"English medical doctor, writer and activist"
Valerie Beral,Australian-British epidemiologist
Vera Scantlebury Brown,Australian pediatrician
Yvonne Carter,Dean of Warwick Medical School
Jadwiga Niedzielko-Mozol,
Samantha Payne,
Fabiana Cristina Gennari,
Claudia Canjura de Centeno,
Raya Mustafayeva,
Mine Çetinkaya-Rundel,Turkish mathematician
Catharine Garmany,astronomer
Clara Lieber,chemist
Helen Geneva Lewis,chemist
Carolin Crawford,British physicist
Eugenie Lumbers,Australian medical researcher
Andrássy Adél,
G C Anupama,
Vin Murria,
Petra Rudolf,German and Italian physicist
Sofia Ananiadou,Greek computational linguist
Angie Turner King,American chemist and mathematician
Amanda Bryant-Friedrich,American chemist
Núria Terés i Bonet,"Catalan biologist, counsellor and local politician"
Caroline Dean,biologist
Małgorzata Ławniczak,
Dorthe Gylling Crüger,
Irēna Fatare,
Patricia Fauring,
Lisa M. Campbell,botanist
Enid MacRobbie,British biologist and biophysicist
Olena Pokryshko,"Ukrainian teacher, physician"
Hilla Knobler,Israeli poet
Miryam Monsalve Benavides,Colombian botanist
Jane Mulemwa,Ugandan chemist and educator
Q38365496,russische Physikerin und Chemikerin
Anita K. Jones,American computer scientist and former U.S. government official
Ida Franiak-Pietryga,Polish researcher
Chrisanthi Avgerou,Greek-born scholar and computer scientist
Hazel Bishop,American chemist and founder a cosmetics company
Jude Milhon,American hacker & author
Mária Telkes,Hungarian–American scientist and inventor
Jehane Ragai,Egyptian chemist
Christiane Pauc,French mathematician
Jane Piore Gilman,American mathematician
"Margaret Bentinck, Duchess of Portland",British duchess (1715-1785)
Stephanie B. Alexander,American mathematician
Lois Wilfred Griffiths,American mathematician
Beata Wickbom,Schwedische IT-Unternehmerin
Adriana Queiroz-Lima,
Helen Gleeson,British physicist
Patricia M. Mawson,Australian biologist and parasitologist
Yuliya Stepanivna Mishura,Ukrainian mathematician
Marguerite Champendal,Swiss physician (1870-1928)
Michèle Perret-Boudouresque,
Sylvia Thun,researcher
Marcia P. Sward,American mathematician
Vine Cynthia Colby Foster,
Zofia Steinberg,
Maria Grynia,Polish botanist (1924–2015)
Lucia Liljegren,American mechanical engineer
Alice Mary Barry,Irish Doctor
Ute Claussen,deutsche Informatikerin
Margaret Bromhall,English radiotherapist
Mary Lea Heger,American astronomer
Mary Lee Woods,British mathematician and computer programmer
Margit Rätzsch,German chemist
Eleanor Vadala,"American chemist, materials engineer and balloonist"
Clemence Sophia Harned Lozier,American physician
Mariko Nanba,Japanese composer
Brenda Strassfeld,
Teresa Jankowska,
Elena Arnedo Soriano,Spanish physician
Dorina Bianchi,Italian physician and politician
Manju Sharma,Indian biotechnologist
Velma Scantlebury,Barbadian-born American transplant surgeon
Gisela Weiss,Austrian astronomer
Vera Pless,American mathematician
Najat Saliba,Lebanese analytical chemist
Ebba Wergeland,Norwegian physician
Gail Carpenter,"American cognitive scientist, neuroscientist, and mathematician"
Galina Kofman,Russian-American computer programmer and executive
Zübeyde Uğurlu,
Anna Członkowska,Polish neurologist and researcher
Gwenda Louise Davis,Australian botanist (1911-1993)
Göta Tingvald-Hannikainen,
Kate Isabel Campbell,Australian paediatrician
Carmela Dutra,طبيبة برازيلية
Leena Peltonen-Palotie,Finnish geneticist
Aline Miller,Professor of Chemistry
Karin Herrmann,deutsche Physikerin
Catherine Havasi,American computer scientist
Cornelia Elgood,
Margaretha Kirch,German astronomer
Linda Prine,American physician and writer
An Capoen,Belgian politician
Marye Anne Fox,American academic administrator
Lillian Moller Gilbreth,American psychologist and industrial engineer
Constance Endicott Hartt,U.S. botanist (1900-1984)
Nina Berova,Professor of Chemistry
Regina Bruder,deutsche Mathematikerin und Hochschullehrerin
Berit Norling,Norwegian physician
Donna Testerman,Mathematician
Hélène Durand,Belgian botanist and botanical artist (1883-1934)
Bella MacCallum,New Zealand and British botanist and mycologist (1886-1927)
Margarita Paneque,researcher
Eszter Kokas,
Bouchra Baibanou,alpiniste marocaine
Rebecca Miriam Cunningham,American emergency physician and researcher
Phyllis M. Faber,American botanist
Carme Valls i Llobet,Spanish physician and politician
Fumino Kunimitsu,"Japanese medical doctor, politician"
Sachiko Karaki,Japanese engineer
Alice Rasmussen,"Italian-Swedish art historian, and author"
A.-E. Grobéty,
Carmen C. González,
Jessica J.S. Gardner,
Maria Will,
María Ángeles Leciñena Esteban,Spanish physician
Alice Vonk,American floriculturist (1908-1997)
Gladys Elizabeth Baker,American mycologist (1908-2007)
Eileen Barnes,Irish botanical illustrator (1876-1956)
Lady Anne Monson,English botanist and collector of plants and insects (1726-1776)
Hasini Jayathilaka,
Zeynep Atalay,
Zofia Anna Starck,Polish botanist
Alice Tredwell,
Edith Jacobson,American German-born MD & psychoanalyst
Emilie Snethlage,Brazilian naturalist and ornithologist
Julia R. Burdge,American chemist and author
Marie Gernet,German mathematician
Karin Büttner-Janz,East German gymnast
Sheila Kanani,British astronomer
Pamela Silver,American biologist
Maria C. Tamargo,Cuban-American chemist
Maria Bakunin,Italian chemist and biologist
Mary Dover,Canadian chemist
Dorothea Pertz,English botanist (1859-1939)
Luisa Guidotti Mistrali,Italian physician
Natsumi Miwa,Japanese doctor
Valentina Gorinevskaya,Russian military surgeon
Nan Li,botanist
Florence Annie Mockeridge,British botanist (1889-1958)
Gladys del Estal Ferreño,Spanish ecologist born in Venezuela who was murdered in protest in Navarra
Linda Avey,"American biotech analyst, biologist, and co-founder of 23andMe"
Maude Abbott,"doctor, one of Canada's earliest medical graduates"
Esther E Freeman,researcher
Veronica Rodrigues,Indian biologist
Danielle de Oliveira Diniz-Neres,
Magda Bou Dagher-Kharrat,
A.M. Makhmedov,botanist
Anjali Biswas,botanist
Eva del V. Bulacio,botanist
Marie Jordaan,botanist
Patricia Hiriart,botanist
Prabhat Kumar Hajra,botanist
Helen Iglauer Glueck,American physician
Laura Bridgewater,
Erin Marcus,"American physician, writer"
Florica Topârceanu,Romanian biologist
Mary Everest Boole,author of didactic works on mathematics
Mary Ruwart,American scientist and libertarian activist
Mary Percy Jackson,English medical doctor
Angela Steinmüller,German writer
Ana Claudia Arias,"American physicist who is a professor of Physics at the University of California, Berkeley"
Lisa Sauermann,German mathematician
Marion Delf-Smith,British botanist (1883-1980)
Susie O'Reilly,Family doctor and obstetrician (1881-1960)
Orra Almira Phelps,"American doctor, teacher, naturalist, botanist, and environmentalist (1895-1986)"
Marta Kosek,Polish mathematician
Anne-Cathrine Scheen,botanist
Concepción Sáenz de Rivas,botanist
I.F. Satzyperova,botanist
Judith Roderick Wheeler,botanist
María Inmaculada Romero,botanist
Paula Pryke,British botanist
Régine Verlaque,botanist
Irene Bosch,Venezuelan biologist
Winifred Drinkwater,Scottish aviator and aeroplane engineer. First woman in the world to hold a commercial pilot's licence
Giulia Bonarelli,
Leïla Mezian Benjelloun,
Maria Fajger,
Patricia Berjak,South African botanist (1939-2015)
Yūko Miyamura,"Japanese actress, voice actress, J-pop singer and director of audiography"
Tamara Gladkina,russische Biologin
Jessica Gal,Dutch physician and former judoka
Philippa Marrack,United States-based English biologist and immunologist
Paula Embacher,Austrian engineer
Virpi Niemelä,Finnish-Argentine astronomer
Prabha Chatterji,Indian scientist
Rachel Lloyd,American chemist
Elin Bergeås Kuutmann,
Anda Brinkmane,
Christine Reiler,Austrian model
Miranda Yap,Singaporean academic
Monica Oliphant,British-Australian academic and physicist
Anna Balcar-Boroń,
Alice Ball,American chemist
Jing-Rebecca Li,applied mathematician
Hessy Levinsons Taft,German-Jewish model and chemist
Ángela García de la Puerta,spanische Professorin und Chemikerin
Asiyat Tutaeva,Soviet combat medic
Capi Corrales Rodrigáñez,"spanische Mathematikerin, Dozentin und Forscherin"
Jenara Vicenta Arnal Yarza,spanische Chemikerin und Forscherin
Ursula Hill,German mathematician
Julena Steinheider Duncombe,American mathematician
Khilma Perelyaynen,russische Ärztin und Politikerin
Netra Pal Singh,botanist
Renata Jacomo Paixão,botanist
Ana Kelly Koch,botanist
Remedios Aguilar-Santelises,botanist
Louisa Lane Clarke,"British biologist, author, and illustrator (1813-1883)"
Gisela Anton,German physicist
Waltraut Seitter,German astronomer
Ana María Prieto López,early computer programmer
Lydia Rabinowitsch-Kempner,American biologist
Winifred Asprey,American computer scientist and mathematician
Paulette Dillard,American academic administrator and medical technologist
Meropi Tzoufi,Greek university teacher and politician
Mira Ofran,Israeli physicist
Hélène Esnault,French mathematician
Lila Ibrahim,
Suzanne Fortier,Canadian chemist
Florence Violet McKenzie,Australian electrical engineer
Susan Eisenbach,
Gertie F. Marx,"German Anaesthesiologist (born February 13, 1912, Frankfurt, Germany—died January 25, 2004, Bronx, New York , U.S.)"
Sherine Sherzad,engineer
Nancy Snyderman,journalist and physician
Rosalina Berazaín Iturralde,Cuban botanist and university teacher
Gail S. Nelson,
Naomi Halas,American chemist and electrical engineer
Sally Ride,American physicist and astronaut
Sunita Williams,American astronaut and USN officer
Elli Jansson,طبيبة فنلندية
Marja Rantanen,طبيبة فنلندية
María Belón,Spanish physician
Qing Zhao,
Ana Manganaro,Argentinian botanist (1891-1921)
Annelis Schreiber,German botanist (1927-2010)
Lisa Dyson,physicist
Carolina Fal,MÉDICA
Chelsea D. Specht,American botanist (born 1971)
Helen Mary Quirk,botanist (1953-1982)
Helen Ranney,physician scientist
Hessa Al Jaber,Qatari engineer and politician
Hilda Margaret Northcroft,"Doctor, community leader"
Margaret Sparrow,New Zealand activist
Ann Bartuska,American biologist and ecologist
Nina Borisovna Alexeeva,Russian botanist
Noriko Fujii,Japanese chemist
Mayumi Kimura,Japanese biologist
Mati Iturralde,política española
Mary K. Bryan,American botanist (1877-1926)
Irina Evtushenko,russische Ärztin und Politikerin
Hélène Maige-Hocquette,botanist (1902-1990)
Ofelia Trimboli,Argentinian physician
Yūko Ikeda,Japanese physician
Julia Holmes Smith,American physician
Pamela Liversidge,British engineer
Kaoru Kubokawa,Japanese biologist
Jane Heffernan,Canadian mathematician
Claudia Malvenuto,Italian mathematician
Michiko Gō,Japanese biologist
Ljubov Rebane,Estonian physicist
Monika Bociąga-Jasik,researcher (ORCID 0000-0002-6474-0177)
Charlotte Auerbach,"Geneticist, author"
Mary M'Mukindia,Kenyan petrochemical expert
Dorothy G. Downie,British botanist (1894–1960)
Edeltraud Danesch,Austrian botanist (1922–1996)
Edith Gertrude Schwartz Clements,American botanist (1877-1971)
Dierdré A. Snijman,South African botanist (born 1949)
Hanna Czeczott,botanist (1888-1982)
Helena Madelain Lamond Forbes,Scottish botanist (1900-1959)
Irena Kamińska-Szmaj,Polish mathematician
Sofía Fadeevna Naumova,
Martha J. B. Thomas,
Jan Peters,British engineer
June E. Osborn,
Małgorzata Bednarska,Polish sportsperson
Hélène Olivier-Bourbigou,French chemist
Franciszka Cegielska,Polish politician and deputy
Irene Sjögren,
Maria Szulc,Polish chemist
Laura Stachel,
Cynthia Illingworth,paediatrician and medical author
Natalya Vvedenskaya,Russian physicist (1913-2015)
Sarah Bolton,American physicist and academic administrator
Kristina L. Lemson,
Grace Medes,American biochemist
Lynn Bohs,American botanist (born 1957)
Martine Bardot-Vaucoulon,French botanist (born 1948)
Hattie Caldwell,African American physicist
Tamilla Maqsudova,
Marta Kosior-Kazberuk,"Polish engineer, academic"
Adrienne von Speyr,Swiss doctor and mystic
Diana Budisavljević,Austrian humanitarian
Erika Flocken,German physician (1912-1965)
Marie Heim-Vögtlin,first female Swiss doctor (1845-1916)
Rosalyn Sussman Yalow,American medical physicist
Germaine Duparc,(1916-2008)
Ellen Jorgensen,biologist and community science advocate
Francisca Puertas Maroto,"Spanish chemist, researcher and professor"
Vania Fitryanti Putri Herlambang,Indonesian model
Nina Tandon,tissue engineering researcher
Alejandra Correa,
Susanna Carson Rijnhart,"Canadian medical doctor, Protestant missionary, and Tibetan explorer"
Jeanne Gillet-Lefebvre,Belgian botanist (1932-2015)
Marguerite Dugas,French botanist (1893-1974)
Maria Teresa Baldini,"Italian politician, physician and basketball player"
Thereza Dillwyn Llewelyn,Welsh photographer and astronomer (1834-1926)
Danielle Bassett,American physicist
Angeles Arrien,Basque-American cultural anthropologist
Zhang Kangmei,Chinese physician
Elizabeth Garrett Anderson,English physician and feminist (1836-1917)
Miwa Mikami,طبيبة يابانية
Rina Tannenbaum,American chemical engineer
Susan J. Eggers,"computer scientist, computer science professor emeritus"
Maria de Lourdes Pintasilgo,Portuguese politician (1930-2004)
Maria Prokhorova,Russian biologist
Edna Haviland,Canadian chemist
Shannan Moynihan,
Edith Mary Douglas,"engineer, shipyard director, first woman to fly in an experimental bomber aircraft"
Mary Ann Albertson,American botanist and astronomer (1838 – 1914)
Isabel Clifton Cookson,Australian botanist and palaeobotanist (1893–1973)
Rosaura Ruiz Gutiérrez,Mexican researcher and public servant
Helen Kennedy,botanist
Amy Kaukonen,
Emiko Hiyama,
Deqo Mohamed,"Somali doctor who, with her mother and sister, treats women refugees"
Luisa Cabeza,"spanische ingenieurin, Arbeitsingenieurin und Chemieingenieurin"
Lorina Shahumyan,engineer-geologist
Christina Smolke,American biologist
Evamarie Sander,German botanist
Barbara Rabijewska,Polish mathematician
Irena Głowaczewska,"Polish epidemiologist, activist"
Małgorzata Pyda,Polish cardiologist
Kirsten Kraiberg Knudsen,Professor of astrophysics
Kelly S Bateman,researcher
Kyoko Nozaki,Japanese chemist
Grace Sturtevant,American early 20th century iris breeder (1865-1947)
Jessie Jarue Mark,botanist (1906-1971)
Célia Romano Leite,phycologist
Aida Avetisyan,Armenian chemist
Nina G. Kloczcova,phycologist
Ewa Spychaj-Fabisiak,
Sally Brooker,New Zealand inorganic chemist
Albina Africano,Angola chemist and politician
Ana Maria Bamberger,Romanian playwright and physician
Tatyana Safonova,Soviet botanist
Ayten Aydın,Turkish anthropologist
Bernardo Quintana Arrioja,Mexican civil engineer
Elizabeth Williams,British mathematician and educationist
Catherine G. Wolf,"Psychologist, computer scientist"
Maria Fadiman,American ethnobotanist
Janina Adamczyk,Polish chemist
Donatella Danielli,Professor of mathematics
Kristen Maitland,
Anne Tropper,Physics professor
Aurelia Woźnicka,
Božena Valužienė,
Frances Kuo,Taiwanese-born New Zealand mathematician
Sadie Creese,Professor of Cybersecurity at the University of Oxford
Nazira Karodia,scientist
Nonaka En,médica japonesa
Evgenia Zabolotskaya,
Pascale Garaud,
Jennifer Switkes,Canadian-American applied mathematician
Emma Eliza Laughlin,United States botanist and botanical collector (1866—1962)
Izumi Mikami,ingeniera japonesa
Ana Riesgo,researcher
Mary Ann Weitnauer,
Nancy Stoyer,American chemist
Igle Gledhill,South African scientist
Judith Ellen Skog,botanist
Junying Yuan,American biologist
Charlotte Friend,American virologist
Elżbieta Lonc,Polish parasitologist
Eva-Maria Graefe,German mathematical physicist
Philippa Gardner,British computer scientist
Ilona Palásti,Hungarian mathematician
Maria Strømme,Norwegian physicist
Mamta Patel Nagaraja,American engineer
Katherine Agnes Chandler,botanist (1865-1930)
Masako Wakamiya,
Constance J. Chang-Hasnain,American electrical engineer
Heidi Thornquist,
Mara Dierssen Sotos,Catalan scientist
Nada Šikić,Croatian politician
Shashikala Sinha,Indian scientist
Margaret Reid,Australian physicist
Susan Loiseaux,phycologist
Eileen Southgate,British biologist
Karen Koch,Plant biologist
Maria Orlowska,Polish computer scientist
Cheryll Tickle,British biologist
Borka Jerman Blažič,Slovenian internet pioneer
Gulli Petrini,Swedish physicist and suffragist
Naima Sahlbom,Swedish chemist and peace activist
Olga Botner,Danish physics settled in Sweden
Fathia Ayodele Karim,
Maria Forsyth,Australian chemist professor
Vera Afanasieva,Russian academic
Marguerite Crookes,"New Zealand botanical enthusiast, pteridologist and conservationist (1898-1991)"
Elayne Arrington,American mathematician and engineer
Lidia Romanchuk,Ukrainian physician
Laura Rericha,American botanist
Philippa Browning,British physicist
Onyeche Tifase,
Anne D. Yoder,"American biologist, researcher, and professor"
Sabina G. Knees,botanist
Mary Barkas,New Zealand born psychiatrist and physician
Michelle Sun,Hong Kong entrepreneur and educator
Anna Romankow-Żmudowska,Polish biologist
Catarina Andersson Forsman,Swedish physician and civil servant
Sandra Saouaf,American immunologist
Wanda Gugnacka-Fiedor,Polish biologist
Charlotte Whitehead,Canadian physician
Elisabeth Wæver,Danish physician
Inma Hernaez,researcher
Caroline Coventry Haynes,"American painter, botanist, bryologist and botanical collector (1858—1951)"
Jocelyn Gill,American astronomer
Julie LaRoche,Canadian marine biologist
Grace Reksten Skaugen,Norwegian physicist
Clara Marshall,"American physician, educator and author"
Mitsuko Itō,
Marianna S. Safronova,atomic physicist at University of Delaware
Olga Martín-Belloso,Spanish food scientist
Brenna Flaugher,Experimental cosmologist
Aslaug Sverdrup Sømme,Norwegian plant scientist and geneticist (1891-1955)
Elisabeth Müller,german general practitioner and pediatrician
Marva Harpak,Israeli swimmer
Cecilia Sanz Sanz,Valencian doctor exiled in Mexico
Rhonda Franklin,
Mary Edwards,British mathematician and astronomer
Olga López de Roldán,طبيبة كولومبية
Laure Civeyrel,botanist
Catherine E. Delahodde,French astronomer
Kil Chung-hee,Korean physician
Celine Tendobi,Congolese physician
Dalila Boudjemaâ,
Aneta Wojewódzka,Polish botanist
Beatrice Armari,botanist (1877-1918)
Marguerite S. Chang,American chemist
Andrea Vrbovská,
Randi J. Hagerman,American pediatrician
Clotilde Théry,French molecular biologist and researcher
Harriet P. Dustan,
Marjorie Thompson,American biologist
Janina Doliwa-Taborska,
Marie Bloch (astronomer),
Piret Lõhmus,
Rosalind Archer,
Akram Pedramnia,
Letícia Parente,Brazilian artist
Mary Calderone,American physician
Harriet Williams Bigelow,American instructor and astronomer
Phoebe Jane Babcock Wait,American physician
Raluca Ripan,Romanian chemist
Alena Venhodová,Czech senator of Czech Parliament and doctor
Amanda Cox,American journalist and editor
Ronitt Rubinfeld,computer scientist
Anette Hosoi,"American mechanical engineer, biophysicist"
Beverly Wendland,American biologist
Heidy Mader,physicist
Ann Kelleher,Engineer
Margit Antal,
Ayşe Mine Gençler Özkan,Turkish botanist
Sarah Elgin,American biologist
Olufunmilayo Olopade,Nigerian physician
Nicole Spillane,French and Irish applied mathematician
Pamela Samuelson,American lawyer and professor
Abigail Sellen,computer scientist
Rima Rozen,Canadian geneticist
Stefanie Gräfe,deutsche Chemikerin
Laurette Tuckerman,researcher ORCID id 0000-0001-5893-9238
Eleanor G. Rieffel,
Chitra Mandal,Indian Scientist
Françoise Winnik,Canadian chemist and professor
Mary Beal,American botanist and painter (1878-1964)
Christel Rotthaus,mathematician
Sarah Buck,British businesswoman
Tatjana Sernec Avšič,
Anna Estelle Glancy,American astronomer
Jennifer Dionne,American physicist and materials scientist
Marie Louise Sunde,
Barbara Terhal,Dutch physicist
Priscilla Chan,philanthropist
María Amelia Torres,Argentine botanist
Anna Kuliscioff,"Russian revolutionary, editor"
Edith Philip Smith,British botanist (1897-1976)
Katarzyna Socha,
Valentina Seleznyova,russische Ärztin
Galina Borovykh,russische Ärztin
Réka Albert,Hungarian scientist
Carla Green,American neurobiologist and chronobiologist
Lee Eun-sook,South Korean breast cancer expert
K. Birkmane,
Serenella Fucksia,Italian politician
Ynes Mexia,Mexican-American botanist (1870-1938)
Manuelita Vallarino de Saint Malo,Bióloga y educadora panameña
Marina Voskanian,
Kirsten Utheim Toverud,
Gertrude Simmons Burlingham,American mycologist (1872-1952)
Marja Jylhä,
Heidi Marguerite Anderson,botanist
Kátia Cavalcanti Pôrto,botanist
Regina Helena Potsch Andreata,botanist
Renata Gabrielle Pinheiro Santos,botanist
Trante-Heidi Anderson,botanist
Laurie Hendren,Canadian computer scientist
Lunden Alice Simpson,American biologist
Aspasia the Physician,Athenian physician
Jane Greaves,British physicist
Meigan Aronson,American physicist
Nadegda  Beglaryan,
Jitka Abrahámová,
Gladys Vergara,Uruguayan astronomer and professor
Audeen W. Fentiman,"American engineer,and academic"
Halina Tarasiuk,
Irena Bóbr-Modrakowa,
Joan Centrella,American astrophysicist
Lubna of Cordoba,Al-Ándalus slave and intellectual
Jana Kolar,
Antonella De Santo,Italian Professor of Experimental Physics
Lynne McClure,British mathematics educator
Magnhild Lien,Norwegian mathematician specializing in knot theory
Karine Poghosyan,
Christine A. Beveridge,Australian scientist and plant physiologist
Karin Aurivillius,Swedish chemist and crystallographer
Qanta A. Ahmed,"british author, political commentator, women's rights activist and physician specializing in sleep disorders"
Olcay Neyzi,Turkish physician
Anna Petrovna Mishina,Russian mathematician
Joanna Masingila,American mathematician
Agnieszka Szewczyk,
Annie Numbers,British chemist
Agnes de Vries-Bruins,Dutch physician and politician
Neus Sanmartí i Puig,Catalan chemist
Miriam Burland,Canadian astronomer
Anita L. Lopez,NOAA official
Jacqueline Sweeney,American Astronomer
Victoria Bellotti,British computer scientist
Victoria J. Fraser,
Dafna D. Gladman,researcher
Anny-Chantal Levasseur-Regourd,French astronomer
Marija Demjanovna Patsiora,
Sensi Pastor,
Selda Ekiz,Norwegian television presenter
Hiroko Arai,
Betty Harris,American scientist
Louise Kassis,chirurgienne dentiste algérienne
Christine Jones Forman,American astrophysicist and astronomer
Rajaa al-Sanea,Saudi writer
سوسن كمال,
Karin Spoof,
Mavluda Kasimova,
Marija Bračko,طبيبة سلوفينية
Amanda Steinberg,
Tettje Clay-Jolles,Dutch physicist
Rosemary Crowley,Australian politician
Anne Joliot,French biologist
Alícia Casals i Gelpí,researcher
María Prieto,
Maria Ziółek,
Rachel Levy,American mathematician
Larisa Zhuruli,
Zofia Mostowska,
Margaret Harding,Australian scientist
Ángela T. Leiva Sánchez,Cuban botanist (1948-2014)
Ewa Kita,Polish chemist
Jacqueline Noonan,pediatric cardiologist
Halina Bojarska-Dahlig,Polish chemist
Jadwiga Falkowska,"Polish teacher, soldier, and scout leader"
Suad Ibrahim Issa,
Liang Songyun,Chinese botanist (born 1935)
Susana Muñiz,"Uruguayan politician, physician and professor"
Velva Elaine Rudd,American botanist (1910–1999)
