personLabel,occupationLabel,institutionLabel
Janina Starzewska,engineer,Wrocław University of Technology
Élisabeth Borne,engineer,École polytechnique
Beatrice Helen Worsley,computer scientist,Massachusetts Institute of Technology
Pamela Rendi-Wagner,physician,Royal College of Physicians
Mirjam Cvetič,astronomer,University of Maryland
Mary Jane West-Eberhard,biologist,Harvard University
Ellen Kandeler,biologist,University of Vienna
Urszula Niepokojczycka,physician,Wydział Lekarski Uniwersytetu Warszawskiego
Rosana Farias Singer,botanist,Federal University of Rio Grande do Sul
Sylvia Anie,chemist,University of Manchester
Radhia Cousot,computer scientist,Nancy-Université
Inez Maria Haring,botanist,Cornell University
Marie Bernard,physician,Perelman School of Medicine at the University of Pennsylvania
Helen Caldicott,physician,University of Adelaide
Shafrira Goldwasser,engineer,"University of California, Berkeley"
Ulla Hansen,biologist,Harvard University
Olabisi Ugbebor,mathematician,University of London
Amparo Cano García,biologist,Autonomous University of Madrid
Priya Balasubramaniam,engineer,Bangalore University
Rita R. Colwell,biologist,University of Washington
Maria Dolors Baró i Mariné,physicist,Autonomous University of Barcelona
Sarah Wyatt,biologist,Purdue University
Mirjam Cvetič,physicist,University of Ljubljana
Julia Bell,mathematician,Girton College
Philippa Gardner,computer scientist,University of Edinburgh
Magda Ericson,physicist,École normale supérieure de jeunes filles
Reiko Abe,engineer,Yamaguchi University
Isabella Abbott,botanist,University of Hawaii
Patricia A. Ford,physician,University of Miami
Patricia A. Ford,physician,Barry University
Thekla Resvoll,botanist,University of Oslo
Diane Litman,computer scientist,College of William & Mary
Angeliki Diane Rigos,chemist,Cornell University
Sharon R. Long,biologist,Harvard University
Helen Gwynne-Vaughan,botanist,Cheltenham Ladies' College
Irina Shevtsova,mathematician,MSU Faculty of Computational Mathematics and Cybernetics
Joanne M. Cohoon,computer scientist,Teachers College
Frances Hurwitz,engineer,Binghamton University
Chen Saijuan,physician,Paris Diderot University
Shiu-Ying Hu,biologist,Harvard University
Enikő Bitay,engineer,Technical University of Cluj-Napoca
Barbara Reys,mathematician,University of Missouri
Nilanjana Datta,mathematician,ETH Zurich
Catherine McGeoch,computer scientist,Butler University
Rebecca Cole,physician,Drexel University
Lila Ibrahim,computer scientist,Purdue University
Margarita Paneque,chemist,University of Sheffield
Yael Dowker,mathematician,Johns Hopkins University
Mónica Rubio López,astronomer,University of Chile
Priyamvada Natarajan,astronomer,University of Cambridge
Kerstin Schill,computer scientist,Technical University of Munich
Magali Orellana,engineer,Universidad Regional Autónoma de Los Andes
Faith Vilas,astronomer,Massachusetts Institute of Technology
Mary Gervase,mathematician,The Catholic University of America
Jessica Melbourne-Thomas,biologist,University of Tasmania
Diane Souvaine,mathematician,Radcliffe College
Sechi Katō,chemist,Ochanomizu University
Mary Lou Clements-Mann,biologist,Johns Hopkins University
Alicja Chybicka,physician,Wrocław Medical University
Mary Cloyd Burnley Stifler,chemist,Marine Biological Laboratory
Carol Spradling,computer scientist,Northwest Missouri State University
Frances Hurwitz,engineer,Case Western Reserve University
Corinne Bouchoux,engineer,University of Angers
Julia A. Thompson,physicist,Yale University
Miriam Adelson,physician,Tel Aviv University
Bouchra Baibanou,engineer,HEC Montréal
Nádia Campeão,engineer,University of São Paulo
Marye Anne Fox,chemist,Dartmouth College
Justicia Acuña,engineer,University of Chile
Gladys del Estal Ferreño,programmer,University of the Basque Country
Roza Papo,physician,"School of Medicine, University of Zagreb"
Fumino Kunimitsu,physician,Nagasaki University
Ileana Streinu,mathematician,Rutgers University
Susana Malcorra,engineer,National University of Rosario
Mabel Gweneth Humphreys,mathematician,University of British Columbia
Habiba Zehi Ben Romdhane,physician,University of Tokyo
Q21084055,astronomer,Saint Petersburg State University
Q65032076,astronomer,Saint Petersburg State University
Q12131339,botanist,Lesya Ukrainka East European National University
Q22665505,botanist,Tbilisi State University
Karen Barad,physicist,Stony Brook University
Helena Chmura Kraemer,mathematician,Stanford University
Shereen Usdin,physician,Harvard University
Sonia Guimarães,physicist,University of Manchester
Priscilla White,physician,Radcliffe College
Monika Żubrowska-Sudoł,engineer,Warsaw University of Technology
Marie Stopes,botanist,North London Collegiate School
Dorothy Hodgkin,physicist,University of Cambridge
Susanna Terracini,mathematician,University of Turin
Graciela Boente,mathematician,University of Buenos Aires
Esther Salaman,physicist,University of Cambridge
Nora H. Oleas,botanist,University of Florida
Gillian Docherty,computer scientist,University of Glasgow
Mary Lea Heger,astronomer,"University of California, Berkeley"
Anahita Ratebzad,physician,Kabul University
Paraskeva Simova,physicist,Sofia University
Emilie Martin,mathematician,University of Göttingen
Anne Gillespie Shaw,engineer,University of Edinburgh
Meera Chandrasekhar,physicist,Mahatma Gandhi Memorial College
Bertha Lutz,botanist,University of Paris
Tess Gerritsen,physician,Stanford University
Eva Klein,physician,Eötvös Loránd University
Irena Belohorská,physician,Comenius University in Bratislava
Krithi Karanth,biologist,Duke University
Fiona Wood,physician,Ackworth School
Gloria C. Gilmer,mathematician,University of Wisconsin–Madison
Gunilla Hasselgren,physician,Uppsala University
Siranush Nanagulian,botanist,Yerevan State University
Mary K. Vernon,computer scientist,"University of California, Los Angeles"
Lori Ann Setton,engineer,Princeton University
Naomi Amir,physician,Hebrew University of Jerusalem
Gloria C. Gilmer,mathematician,Morgan State University
Laurie Butler,chemist,Massachusetts Institute of Technology
Mariel Vázquez,mathematician,National Autonomous University of Mexico
Helena Hespanhol,botanist,University of Porto
Q21857032,physicist,Saint Petersburg State University
Q65200319,physicist,Saint Petersburg State University
Bertha E. Reynolds,physician,University of Nebraska system
Q16081942,physicist,University of Pennsylvania
Krithi Karanth,biologist,University of Florida
Dilian Francisca Toro,physician,University of Valle
Bronwyn Harch,data scientist,The University of Queensland
Q65032075,physicist,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"""
Elizabeth Gitau,physician,Harvard Medical School
Inés Jacob Taquet,computer scientist,University of Deusto
Varda Shalev,physician,Ben-Gurion University of the Negev
Amparo Vila,mathematician,University of Granada
Q97208342,physician,Heidelberg University
Lorraine Borman,computer scientist,Northwestern University
Allison Joy Haywood,biologist,University of Auckland
Dorothy Hodgkin,chemist,University of Cambridge
Kathryn Stephenson,physician,University of Arizona
Mary Cleophas Garvin,mathematician,Saint Louis University
Lavinia Loughridge,physician,Queen's University Belfast
Pamela Zave,computer scientist,Cornell University
Angela Merkel,physicist,German Academy of Sciences at Berlin
Geneviève Almouzni,biologist,Pierre and Marie Curie University
Barbara Rabijewska,mathematician,University of Wrocław
Simonetta Di Pippo,physicist,Sapienza University of Rome
Philippa Browning,physicist,University of Cambridge
Li Fan,computer scientist,University of Wisconsin–Madison
Q97208342,physician,Andalas University
Vlasta Kálalová,physician,Charles University
Q100943158,mathematician,Warsaw University of Technology
Ana Cannas da Silva,mathematician,Massachusetts Institute of Technology
Jinjin Harder,programmer,Heinrich-von-Gagern-Gymnasium
Valerie E. Stone,physician,Yale School of Medicine
Helen Edwards,engineer,University of Sussex
Anne Ulrich,chemist,St Cross College
Johanna Budwig,chemist,University of Münster
Dorothy Maud Wrinch,chemist,Girton College
Grace Evelyn Pickford,botanist,Newnham College
Melanie Wood,mathematician,Princeton University
Lene Vestergaard Hau,physicist,Aarhus University
Marjorie Grene,biologist,Wellesley College
Kathy Sierra,programmer,California Polytechnic State University
Eligia Turska-Kuśmierz,chemist,Warsaw University of Technology
Annapurni Subramaniam,astronomer,Indian Institute of Astrophysics
Janina Jasnowska,biologist,Wrocław University of Technology
Abigail Vieregg,physicist,Dartmouth College
Margaret D. Foster,chemist,Illinois College
Claire Rougeulle,biologist,Pierre and Marie Curie University
Corrie Hermann,physician,Utrecht University
Pauline Lautaud,physician,Faculty of Medicine of Montpellier
Lina Stern,chemist,University of Geneva
Heidi Hammel,astronomer,Massachusetts Institute of Technology
Svitlana Makarevska,engineer,Kyiv National University of Construction and Architecture
Melanie Lee,biologist,University of York
Ellen Schlichting,physician,University of Oslo
Sue Singer,mathematician,The Open University
Katarzyna Hałkowska,mathematician,University of Opole
Zoya Lazaryan,physician,Yerevan State Medical University
Susana Muñiz,physician,Universidad de la República - Udelar
Danqi Chen,computer scientist,Stanford University
Laura Taalman,mathematician,Duke University
Valerie Mizrahi,biologist,University of Cape Town
Lora Aroyo,computer scientist,Sofia University
Halina Abramczyk,physicist,University of Łódź
Inés González Árraga,chemist,University of Zulia
Eileen A. McLaughlin,biologist,University of Bristol
Ellen S. Baker,physician,Weill Cornell Medicine
Mildred Dresselhaus,engineer,Harvard University
Ruxandra Gref,chemist,University of Paris-Sud
Alvard Gasparyan,physician,Yerevan State Medical University
Svetlana Yurievna Zaginaichenko,chemist,Lviv University
Cristina Pereyra,mathematician,Yale University
Christine Griffin,engineer,Massachusetts Maritime Academy
Josephine Adelaide Clark,botanist,Columbia University
Edith M. Flanigen,chemist,Syracuse University
Elena Cornaro Piscopia,mathematician,University of Padua
Irene Fernandes,botanist,Federal University of Rio Grande do Sul
Lidia Brito,engineer,Colorado State University
Lorella Jones,physicist,Radcliffe College
Deborah L. Birx,physician,Carlisle High School
Rebecca Cole,physician,Woman's Medical College of Pennsylvania
Patience Mthunzi,biologist,University of St Andrews
Laura Danly,astronomer,University of Wisconsin–Madison
Mary Lou Clements-Mann,biologist,University of Texas at Austin
Kaisa Sere,computer scientist,Åbo Akademi University
Flora Wambaugh Patterson,botanist,Radcliffe College
Virginia Pereira Álvarez,physician,Central University of Venezuela
Hee Oh,mathematician,Yale University
Maud Menten,physician,University of Toronto
Aleksandra Glagoleva-Arkadyeva,physicist,Guerrier Courses
Mary Lou Clements-Mann,biologist,University of London
Barbara J. Meyer,biologist,Harvard University
Susan K. Gilmour,biologist,Rutgers University
Ann Mercy Hunt,chemist,University of Cambridge
Sylvia Stoesser,chemist,University at Buffalo
Phyllis Clinch,botanist,University of Dublin
Deborah L. Birx,physician,Lampeter-Strasburg High School
Ann Linnea Sandberg,biologist,University of Chicago
Halina Abramczyk,chemist,University of Łódź
Victoria Fernández,mathematician,University of the Basque Country
Henda Swart,mathematician,Stellenbosch University
Pat Ambler,engineer,Newnham College
Deborah L. Birx,physician,Penn State Milton S. Hershey Medical Center
Marja Jäättelä,physician,University of Helsinki
Elizabeth Dale,botanist,Girton College
Dian Fossey,biologist,Darwin College
Marie Charpentier,mathematician,University of Poitiers
Nadezhda Bokach,chemist,Vologda State Pedagogical University
Adelina Barrion,biologist,University of the Philippines Los Baños
Alina Hejnowicz,botanist,University of Warsaw
Anne Nafi Aussi,engineer,University of Baghdad
Ann Bishop,biologist,Girton College
Margaret Oakley Dayhoff,physicist,Columbia University
Nell B. Dale,computer scientist,University of Houston
Sophie Morel,mathematician,University of Paris-Sud
Maarit Järvenpää,mathematician,University of Jyväskylä
Irena Dąbkowska,botanist,Jagiellonian University
Silvia Monica Dinică,mathematician,University of Bucharest
Verónica Juárez-Jaimes,botanist,National Autonomous University of Mexico
Judith Magyar Isaacson,mathematician,Bates College
Ethel Thomas,botanist,University College London
Stella Vardanyan,physician,Yerevan State University
Annie Selden,mathematician,Oberlin College
Jacqueline Chen,mathematician,"University of California, Berkeley"
Jennifer Tour Chayes,computer scientist,Princeton University
Gloria C. Gilmer,mathematician,Marquette University
Maud Menten,chemist,University of Toronto
Lida Barrett,mathematician,University of Texas at Austin
Svetlana Yurievna Zaginaichenko,physicist,G. V. Kurdyumov Institute for Metal Physics of the National Academy of Sciences of Ukraine
Bjørli Lehrmann,biologist,Falkonergårdens Gymnasium
Yvette Roubideaux,physician,Harvard University
Edith Claypole,physician,"University of California, San Francisco"
Kitty Joyner,engineer,University of Virginia
Ruth Nicholson,physician,Durham University
Liz MacDonald,physicist,University of New Hampshire
Marcelle Machluf,physician,Hebrew University of Jerusalem
María Luisa López Fernández,botanist,University of Valencia
Marta Lucía Bueno,biologist,National University of Colombia
Sofya Yanovskaya,mathematician,Institute of Red Professors
Mariam Becker Mazur,mathematician,Princeton University
Noël Bakhtian,engineer,Stanford University
Noël Bakhtian,engineer,University of Cambridge
Bonnie Berger,computer scientist,Massachusetts Institute of Technology
Caroline Deys,physician,St Paul's Girls' School
Marie Rosenberg,biologist,University of Vienna
Beatrice Mintz,biologist,University of Iowa
Janet Guernsey,physicist,Harvard University
Mica Endsley,engineer,Texas Tech University
Elsa Lewkowitsch,chemist,Imperial College London
Ulana Suprun,physician,Michigan State University
Nina Berova,chemist,Bulgarian Academy of Sciences
Pauline Byakika,physician,Makerere University
Trude Schiff-Löwenstein,physician,University of Bonn
Corinne Charbonnel,astronomer,Toulouse III University - Paul-Sabatier
Lesa Kennedy,engineer,Duke University
Myra Sklarew,biologist,Tufts University
Ruth Ella Moore,biologist,Ohio State University
Clara Eliza Smith,mathematician,Mount Holyoke College
Lada Adamic,computer scientist,California Institute of Technology
Ursula Gibson,physicist,Cornell University
Hélène Sparrow,biologist,University of Warsaw
Lauretta Bender,physician,Iowa State University
Myra Sklarew,biologist,Johns Hopkins University
Kristine Yaffe,physician,Perelman School of Medicine at the University of Pennsylvania
Nicole King,biologist,Harvard University
Pelin Gündeş Bakır,engineer,Imperial College London
Maria Nazareth F. da Silva,biologist,"University of California, Berkeley"
Susan Alberts,biologist,University of Chicago
Ruth Hubbard,biologist,Harvard University
Mercedes Richards,astronomer,York University
Anna Patterson,computer scientist,University of Illinois at Urbana–Champaign
Wilhelmine Key,biologist,University of Chicago
Lesa Roe,engineer,University of Florida
Lisa Anne Standley,botanist,Cornell University
Bin Chen,chemist,Nanjing University
Susana Solís Pérez,engineer,University of Oviedo
Hilda Ingold,chemist,"Royal Holloway, University of London"
Pelin Gündeş Bakır,engineer,Istanbul Technical University
Merrilyn Goos,mathematician,The University of Queensland
Naomi Climer,engineer,Imperial College London
Patricia Eugenia Cárdenas Santa María,engineer,University of Oxford
Carla Gomes,computer scientist,University of Edinburgh
Lee Bee Wah,engineer,Nanyang Technological University
Aline Marie Raynal,botanist,Montpellier 2 University
Webe Kadima,chemist,University of Alberta
Lee Bee Wah,engineer,National University of Singapore
Jennifer E. Hoffman,physicist,Stanford University
Christine Piatko,computer scientist,New York University
Linda Petzold,mathematician,University of Illinois at Urbana–Champaign
Dahlia Greidinger,chemist,Hebrew Reali School
Lesia Romanchuk,physician,Faculty of Medicine of Ternopil National Medical University
Sarah Hynes,botanist,The Mary Erskine School
Shafrira Goldwasser,computer scientist,Carnegie Mellon University
Katherine J Franz,chemist,Wellesley College
Jean Springer,mathematician,University of the West Indies
Barrie Lambert,physician,London School of Medicine for Women
Phyllis Fox,mathematician,Wellesley College
Gilda A Barabino,engineer,Rice University
Ruth Dayhoff,computer scientist,Johns Hopkins School of Medicine
Susan Landau,mathematician,The Bronx High School of Science
Elisabeth Müller,physician,Ludwig Maximilian University of Munich
Lillian Hoddeson,physicist,Columbia University
Zhang Lina,chemist,Wuhan University
Krisztina Holly,engineer,Massachusetts Institute of Technology
Chryssa Kouveliotou,astronomer,Technical University of Munich
Kate Pelham Newcomb,physician,University at Buffalo
Akjemal Magtymova,physician,The Fletcher School of Law and Diplomacy
Joan Francioni,computer scientist,Florida State University
Lillian Rosanoff Lieber,mathematician,Barnard College
Tatyana Nechiporenko,physician,Saint Petersburg State Medical Academy
Kathleen Rubins,biologist,Vintage High School
Helen Muir,chemist,Downe House
Clara Lieber,chemist,Shortridge High School
Judith Herzfeld,chemist,Massachusetts Institute of Technology
Joan A. Steitz,biologist,Antioch University
Marta Lewicka,mathematician,Częstochowa University of Technology
Gabriella Aquaro,botanist,University of Catania
Alice Y. Ting,biologist,Texas Academy of Mathematics and Science
Lotte Pusch,chemist,Humboldt University of Berlin
Ibtesam Badhrees,physicist,Fairleigh Dickinson University
Doris Daou,astronomer,Université de Montréal
Chryssa Kouveliotou,astronomer,Max Planck Institute for Evolutionary Anthropology
Frances Wick,physicist,Wilson College
Natalie Grams,physician,Heidelberg University
Georgia Rooks Dwelle,physician,Spelman College
Bożena Kiziewicz,biologist,Medical University of Białystok
Ciara Kelly,physician,University College Dublin
Nancy E. Messonnier,physician,Pritzker School of Medicine
Darja Žgur Bertok,biologist,University of Ljubljana
Cecilia Söderberg-Nauclér,physician,Karolinska Institute
Melanie Wood,mathematician,Duke University
Anne Plant,chemist,Baylor College of Medicine
Elanor Huntington,engineer,Australian National University
Judy Hirst,biologist,St John's College
Verina Morton Jones,physician,Woman's Medical College of Pennsylvania
Joann Elmore,physician,Yale University
Minna Palmroth,physicist,University of Helsinki
Aymée Robainas Barcia,biologist,University of Havana
Cynthia Larive,chemist,"University of California, Riverside"
Sharon R. Long,biologist,Yale University
Janice E. Cuny,computer scientist,University of Michigan
María Cristina Pineda Suazo,physicist,Universidad Nacional Autónoma de Honduras
Roma Agrawal,engineer,Imperial College London
Naila Faran,physician,King Saud University
Praskowya Harbatsevich,physician,Belarusian State Medical University
Ellen Kandeler,chemist,University of Vienna
Alma Ast,physician,University of Tartu
Nancy Boyda,chemist,William Jewell College
Gerda Kjellberg,physician,Åhlinska skolan
Krystyna Midura-Nowaczek,chemist,University of Warsaw
Martha Bunting,botanist,University of Pennsylvania
Greta Panova,computer scientist,Harvard University
Victoria Stodden,data scientist,University of British Columbia
Mary-Anne Williams,computer scientist,University of Sydney
Zoya Popovic,engineer,California Institute of Technology
Renuka Ravindran,mathematician,Indian Institute of Science
Amy Johnson,engineer,University of Sheffield
Anny Jutand,chemist,Université Sorbonne Paris Nord
Ramani Moonesinghe,physician,UCL Medical School
Lainie Friedman Ross,physician,Princeton School of Public and International Affairs
Christa Brosseau,chemist,University of Guelph
Suzanne Jenniches,engineer,Harvard Business School
Jennifer Mankoff,computer scientist,Georgia Institute of Technology
Gloria Suzanne Koenigsberger Horowitz,physicist,National Autonomous University of Mexico
Cheng Xiang Zhai,computer scientist,Carnegie Mellon University
Harriet Creighton,botanist,Cornell University
Debra Elmegreen,astronomer,Harvard University
Susan Strome,biologist,University of New Mexico
Amie Wilkinson,mathematician,"University of California, Berkeley"
Claire Giry,biologist,École Normale Supérieure de Lyon
Maria Chiara Carrozza,engineer,University of Pisa
Annalisa Buffa,mathematician,University of Milan
Evelyn Fox Keller,biologist,Brandeis University
Paola Loreti,mathematician,Sapienza University of Rome
Margaret Chan,physician,The Education University of Hong Kong
Caroline Matilda Dodson,physician,Woman's Medical College of Pennsylvania
Helena Rasiowa,computer scientist,University of Warsaw
Talita Fontoura,biologist,Federal University of Rio de Janeiro
Marie Litzinger,mathematician,University of Chicago
Esther de Cáceres,physician,Universidad de la República - Udelar
Jennie Kidd Trout,physician,University of Pennsylvania
Claire Curtis-Thomas,engineer,Cardiff University
Q91863704,astronomer,University of Edinburgh
Elena Evgen'evna D'yakonova,mathematician,Moscow State University
Aurora Seco Torrecillas,chemist,University of Valencia
Corinna E. Lathan,computer scientist,Massachusetts Institute of Technology
He Zehui,physicist,Technical University of Berlin
Jennifer Tour Chayes,computer scientist,Cornell University
Sabina Jeschke,computer scientist,Technical University of Berlin
María Salguero Bañuelos,data scientist,National Polytechnic Institute
Wendy Linn Applequist,botanist,University of Illinois at Urbana–Champaign
Anjali Bansal,engineer,"School of International and Public Affairs, Columbia University"
Judith Donath,computer scientist,Yale University
Lorraine Foster,mathematician,Occidental College
Lily Neo,physician,Royal College of Surgeons in Ireland
Joan Slonczewski,biologist,Bryn Mawr College
Yoelle Maarek,computer scientist,Pierre and Marie Curie University
Margaret Jane Benson,botanist,Newnham College
Miriam Esther Brailey,physician,Johns Hopkins School of Medicine
Nicole Capitaine,astronomer,Pierre and Marie Curie University
Nora D. Volkow,physician,National Autonomous University of Mexico
Wanda Austin,engineer,USC Viterbi School of Engineering
Constance Ellis,physician,University of Melbourne
Ngeri Benebo,physician,University of Liberia
Naina Yeltsina,engineer,Ural Federal University
Maria Spiropulu,physicist,Harvard University
Elizabeth Barrett-Connor,physician,Mount Holyoke College
Trine L. Danielsen,engineer,Norwegian Institute of Technology
Marie Phisalix,biologist,École normale supérieure de jeunes filles
Ellen Hayes,astronomer,Oberlin College
Frederica Darema,computer scientist,"University of California, Davis"
Ellen Hayes,mathematician,Oberlin College
Tina Birbili,physicist,National and Kapodistrian University of Athens
Deborah L. McGuinness,computer scientist,"University of California, Berkeley"
Ewa Spychaj-Fabisiak,chemist,University of Technology and Life Sciences in Bydgoszcz
Zofia Fischer-Malanowska,biologist,University of Warsaw
Sylvie Testelin,physician,University of Picardie Jules-Verne
Aviv Regev,mathematician,Tel Aviv University
Amy Jacot Guillarmod,botanist,University of St Andrews
Dorothy McFadden Hoover,mathematician,University of Arkansas at Pine Bluff
Jill E Millstone,chemist,Carnegie Mellon University
Helen Purdy Beale,botanist,Barnard College
Q20506914,chemist,Moscow State University
Q89190209,chemist,Moscow State University
Noémie Koechlin,biologist,Science Faculty of Paris
Doris Schattschneider,mathematician,University of Rochester
Elżbieta Lonc,biologist,University of Wrocław
Carla Vizzotti,physician,University of the Salvador
Bin Yu,engineer,"University of California, Berkeley"
Ellen Frey,physician,University of Tartu Faculty of Medicine
Sylvia Richardson,mathematician,Paris-Saclay University
Sangeeta N. Bhatia,engineer,Harvard Medical School
Aleksandra Samecka-Cymerman,biologist,University of Wrocław
Mirjam Cvetič,physicist,University of Maryland
Rie Tanaka,physician,Kanazawa University
Hildelisa Saralegui Boza,botanist,University of Havana
Annie Jump Cannon,astronomer,Radcliffe College
Thelma Estrin,engineer,City College of New York
Teresa Banaś,chemist,University of Wrocław
Marina Galand,physicist,Joseph Fourier University
Cherri M. Pancake,computer scientist,Cornell University College of Human Ecology
Sakaye Shigekawa,physician,Loyola University Chicago
Kathleen Antonelli,computer scientist,J. W. Hallahan Catholic Girls High School
Valentina Dagienė,computer scientist,Vilnius University
Inez Pruitt,physician,University of Maryland Eastern Shore
Julia Bell,physician,Girton College
Dorothy Hodgkin,physicist,Somerville College
Helen Burgess,chemist,University of British Columbia
Janet Franklin,botanist,"University of California, Santa Barbara"
Mary Jane Irwin,engineer,University of Memphis
Kesaveloo Goonam,physician,University of Edinburgh
Giuseppina Masotti Biggiogero,mathematician,Politecnico di Milano
Margarita Padilla García,computer scientist,Polytechnic University of Catalonia
Shannon Walker,physicist,Rice University
Alicia Nash,physicist,"Marymount School, New York"
Naomi Feinbrun-Dothan,botanist,Moscow State University
Katrin Wehrheim,mathematician,University of Hamburg
Zuleyma Tang-Martínez,biologist,Saint Louis University
Hitomi Shimizu,engineer,Toho Gakuen School of Music
Sharon Glotzer,physicist,Boston University
Annie Jump Cannon,physicist,Radcliffe College
Inés González Árraga,chemist,Venezuelan Institute for Scientific Research
Martha Bunting,biologist,University of Pennsylvania
Joan Feigenbaum,mathematician,Harvard University
Q91863704,astronomer,National and Kapodistrian University of Athens
Eva Andersson,physician,Karolinska Institute
Anna Wałek-Czernecka,botanist,University of Warsaw
Rosie Trevelyan,biologist,University of Oxford
Jenna Carpenter,mathematician,Louisiana Tech University
Bindu A. Bambah,physicist,University of Chicago
Dorothy Hodgkin,chemist,Somerville College
Marjorie Hall Harrison,astronomer,University of Chicago
Maysoun Douas,physicist,Autonomous University of Madrid
Noemí Zaritzky,chemist,National University of La Plata
Lillian Lee,computer scientist,Cornell University
Krystyna Kukułczanka,biologist,University of Wrocław
Yevgeniya Nikolayevna Sinskaya,botanist,Peter’s Agricultural Academy
Rosena Allin-Khan,physician,University of Cambridge
Alicja Kiepurska-Branicka,physician,Medical University of Warsaw
Varda Shalev,physician,Johns Hopkins University
Helga Ochoterena-Booth,botanist,Cornell University
Ayako Nishikawa,physician,St. Marianna University School of Medicine
Barbara Haviland Minor,chemist,Bucknell University
María Andrea Carrasco,botanist,Complutense University of Madrid
Corinne Le Quéré,physicist,Pierre and Marie Curie University
Mariel Vázquez,mathematician,Florida State University
Andrea Wong,engineer,Stanford University
Q12527142,biologist,Moscow State University
Q26255877,biologist,Moscow State University
Q62714833,biologist,Moscow State University
Q65031770,biologist,Moscow State University
Q74810417,biologist,Moscow State University
Hiromi Mishō,physician,Okayama University
Q4406741,astronomer,National University of Kharkiv
Q89910741,astronomer,National University of Kharkiv
Edith Cohen,computer scientist,Tel Aviv University
Q65195677,mathematician,National University of Kharkiv
Katrin Tent,mathematician,University of Kiel
Riko Muranaka,physician,Hokkaido University
Marie Curie,physicist,Science Faculty of Paris
Bouchra Baibanou,engineer,National Institute of Posts and Telecommunications
Q60693832,physician,Tel Aviv University
Ellen Ochoa,engineer,Stanford University
Q15070891,astronomer,Voronezh State University
Marie Curie,physicist,Sorbonne
Inge Troch,mathematician,TU Wien
Alison Butler,chemist,"University of California, San Diego"
Wielisława Osmańska-Furmanek,computer scientist,Wrocław University of Technology
Jaime Levy Russell,computer scientist,San Francisco State University
Q12285879,physician,National and Kapodistrian University of Athens
Q16331662,physician,National and Kapodistrian University of Athens
Jacqueline van Gorkom,astronomer,University of Groningen
Sophie Charlotte Ducker,botanist,University of Geneva
María Jesús Carro Rossell,mathematician,University of Extremadura
Chanda Prescod-Weinstein,astronomer,Perimeter Institute for Theoretical Physics
Melissa Franklin,physicist,Stanford University
Julia R. Hall,physician,Howard University College of Medicine
Katrin Suder,physicist,Ruhr University Bochum
Jaione Valle,biologist,Public University of Navarre
Florence Gschwend,chemist,Imperial College London
Q16048426,biologist,University of Sheffield
Chiu-Yen Kao,mathematician,National Taiwan University
Mary Rees,mathematician,St Hugh's College
Carina Curto,mathematician,Harvard University
Edith Quimby,physicist,"University of California, Berkeley"
Melissa Franklin,physicist,University of Toronto
Paulette Libermann,mathematician,Louis Pasteur University
Yevgenya Moghnyan,physician,Yerevan State Medical University
Ellen R. Stofan,astronomer,College of William & Mary
Rhea Boyd,physician,University of Notre Dame
Diane Souvaine,computer scientist,Princeton University
Helen Sharman,chemist,University of London
Beatriz Londoño Soto,physician,Pontifical Bolivarian University
Cheryll Tickle,biologist,University of Cambridge
Evangelina Santos,mathematician,University of Granada
Barbara Reys,mathematician,College of the Ozarks
Rhea Boyd,physician,Harvard T.H. Chan School of Public Health
Katsuko Saruhashi,chemist,Toho University
Borka Jerman Blažič,computer scientist,Iowa State University
Amalie Frischknecht,physicist,Pomona College
Dace Seisuma,physician,Riga Stradiņš University
Sydney Kustu,biologist,Harvard University
Maria-Luise Mathiaschitz,physician,University of Innsbruck
Q22119779,physician,Yokohama City University
Marjolein Dijkstra,physicist,Wageningen University & Research
Ana Denicola,chemist,Universidad de la República - Udelar
Uma Saren,physician,Nil Ratan Sircar Medical College and Hospital
Maryna Viazovska,mathematician,Q12123119
Patricia Bath,physician,Howard University
Mariana Wolfner,biologist,Stanford University
Yang Dan,chemist,Sun Yat-sen University
Sima Samar,physician,Kabul University
A. J. Bernheim Brush,computer scientist,University of Washington
Rosana Rodríguez López,mathematician,University of Santiago de Compostela
Olivia Lum,chemist,National University of Singapore
Biruta Fąfrowicz,physician,Medical University of Lublin
Clara Pinto Correia,biologist,State University of New York
Ellen Gleditsch,chemist,Curie Institute
Kathryn Uhrich,chemist,University of North Dakota
Angela Merkel,chemist,German Academy of Sciences at Berlin
Q27043177,botanist,Grodno State Agrarian University
Tang Wenxia,chemist,East China Normal University
Martha G. Welch,physician,Columbia University College of Physicians and Surgeons
Q24010850,botanist,MSU Faculty of Biology
Salwa Nassar,physicist,Smith College
Grace Langford,physicist,Massachusetts Institute of Technology
Jacqueline Bloch,physicist,Pierre and Marie Curie University
Lori S. Glaze,astronomer,University of Lancaster
Q50377570,chemist,University of Gothenburg
Nadia Heninger,computer scientist,Princeton University
Ching-Liang Lin,physicist,University of Tokyo
Isabella Abbott,botanist,"University of California, Berkeley College of Natural Resources"
Gabi Dreo Rodosek,computer scientist,Ludwig Maximilian University of Munich
Sandra Carson,physician,Feinberg School of Medicine
Mahbouba Gharbi,engineer,University of Stuttgart
Lucia Rothman-Denes,chemist,University of Buenos Aires
Gertrude Mary Cox,mathematician,Iowa State University
