personLabel,occupationLabel,institutionLabel
Gilberte Chambaud,chemist,University of Paris-Sud
Pam Galloway,physician,University of Chicago
Mara Neusel,mathematician,University of Göttingen
Yan Aoshuang,physicist,Peking University
Xia Peisu,computer scientist,Nanjing University
María Luisa Alarcón,botanist,Complutense University of Madrid
Jolanta Wysocka,physician,Medical University of Białystok
Annalisa Santangelo,botanist,University of Naples Federico II
Helen Dannetun,physicist,Linköping University
Hertha Ayrton,physicist,Girton College
Caroline Black,botanist,Indiana University
Judith Estrin,mathematician,Stanford University
Vera Mihailovna,mathematician,Bestuzhev Courses
Nina Roscher,chemist,University of Delaware
Sufiah Yusof,mathematician,St Hilda's College
Carla Ellis,computer scientist,University of Washington
Sofia Kovalevskaya,mathematician,University of Göttingen
Dana Angluin,computer scientist,"University of California, Berkeley"
Susan Athey,mathematician,Duke University
Elisa Díaz Riva,chemist,University of Santiago de Compostela
Edith Kellman,astronomer,Wheaton College
Catherine Plaisant,computer scientist,Arts et Métiers ParisTech
Suzanne Madden,astronomer,University of Massachusetts Amherst
Anna Marciniak-Czochra,mathematician,University of Warsaw
Annie de Villèle,mathematician,École normale supérieure de jeunes filles
Karla Jurvetson,physician,University of California
Katherine Bitting,chemist,Purdue University
Jessie MacWilliams,mathematician,Johns Hopkins University
Marilyn Gunner,physicist,University of Pennsylvania
Melba Roy Mouton,mathematician,Howard University
Mary Blair Moody,physician,University at Buffalo School of Medicine and Biomedical Sciences
Bella MacCallum,botanist,Canterbury College
Louise Adelaide Wolf,mathematician,University of Wisconsin–Madison
Ayanna Howard,computer scientist,University of Southern California
Jane Mulemwa,chemist,Makerere University
Marie Charlotte Schaefer,physician,University of Texas Medical Branch
Susanne Brenner,mathematician,Stony Brook University
Meropi Tzoufi,physician,National and Kapodistrian University of Athens
Lin Lanying,physicist,University of Pennsylvania
Janet Sprent,botanist,University of London
Artishia Gilbert,physician,Simmons College of Kentucky
Ethel C. Field,botanist,University of Nebraska–Lincoln
Shelley D. Minteer,chemist,Saint Louis University
Martha Evens,computer scientist,Northwestern University
Line Jansrud,physician,University of Bergen
Maisa Rojas,physicist,University of Oxford
Maria Aleksandra Kalina,biologist,Medical University of Silesia
Kellie Leitch,physician,Queen's University
Sue Ieraci,physician,University of Sydney
Christine Wiedinmyer,chemist,University of Texas at Austin
Dana Randall,computer scientist,Stuyvesant High School
Pamela L. Gay,astronomer,University of Texas at Austin
Marisa Castro Cerceda,biologist,University of Santiago de Compostela
Lis Brack-Bernsen,astronomer,University of Copenhagen
Perdita E. Barran,chemist,Godolphin and Latymer School
Lis Brack-Bernsen,mathematician,University of Copenhagen
Sofia Kovalevskaya,physicist,University of Göttingen
Maria Gdaniec,chemist,Adam Mickiewicz University in Poznań
Sara Ellison,astronomer,University of Kent
Jade Wang,programmer,Stanford University
Ng Yen Yen,physician,University of Malaya
Frances Kirwan,mathematician,Oxford High School
Kira Leonidovna Vinogradova,botanist,"Faculty of Biology, Saint Petersburg State University"
Bettye Washington Greene,chemist,Wayne State University
Tamara Agnic,engineer,Adolfo Ibáñez University
Yvonne Stokes,mathematician,University of Adelaide
Monique Combescure,physicist,University of Paris-Sud
Xia Peisu,computer scientist,Southeast University
Klára Sárközy,physician,Comenius University in Bratislava
Carla Ellis,computer scientist,University of Toledo
Cicely Saunders,physician,King's College London
Ulrike von Luxburg,computer scientist,University of Konstanz
Kimberly W. Anderson,chemist,Youngstown State University
Teresa Ratto,physician,Facultad de Medicina
Florence van Straten,physicist,New York University
Bertha Van Hoosen,physician,University of Michigan Medical School
Ana Lucía de la Garza Barroso,physician,National Autonomous University of Mexico
Jodi Nunnari,biologist,"University of California, San Francisco"
Kathleen Lonsdale,chemist,University College London
Lenore Blum,mathematician,Massachusetts Institute of Technology
Jenny Rosenthal Bramley,physicist,New York University
Xiaoli Ma,engineer,Auburn University
Eleanor Campbell,physician,Boston University School of Medicine
Marie Lebour,botanist,Durham University
Vicki Grassian,chemist,State University of New York at Albany
Tamara Agnic,engineer,University of Santiago
Marie-Claude Gaudel,computer scientist,Nancy-Université
Fioralba Cakoni,mathematician,University of Tirana
Treena Livingston Arinzeh,engineer,Johns Hopkins University
Kimberly Kowal Arcand,astronomer,University of Rhode Island
Natalie Enright Jerger,computer scientist,Purdue University
Gertrude Clarke Nuttall,botanist,North London Collegiate School
Joan Hastings,botanist,University of Auckland
Anna Marie Pyle,biologist,Columbia University
Mari Källersjö,botanist,University of Gothenburg
Susan La Flesche Picotte,physician,University of Virginia
Annette Huber-Klawitter,mathematician,University of Münster
Evelyn Berezin,computer scientist,Hunter College
Henriette Avram,computer scientist,Hunter College
Roxana Judkins Stinchfield Ferris,botanist,Stanford University
Polly Arnold,chemist,Notting Hill and Ealing High School
Ilene Busch-Vishniac,engineer,University of Rochester
June Chan,biologist,The Bronx High School of Science
Karen Aardal,mathematician,Université catholique de Louvain
Catherine Asaro,physicist,Harvard University
Julia Newton,physician,Newcastle University
Anna Honzáková,physician,Charles University
Nancy Reid,mathematician,University of Waterloo
Natalia M. Novikova,mathematician,MSU Faculty of Computational Mathematics and Cybernetics
Sheela Basrur,physician,University of Toronto
Amaelle Landais-Israël,physicist,ESPCI ParisTech
Aimee Barrett-Theron,biologist,Stellenbosch University
Alina Skirgiełło,botanist,University of Warsaw
Bettye Washington Greene,chemist,Tuskegee University
Thérèse Vanier,physician,University of Cambridge
Lyda Lubienė,chemist,Kaunas University of Technology
Barbara Sudnik-Wójcikowska,botanist,University of Warsaw
Ethel Raybould,mathematician,The University of Queensland
Ulrike Tillmann,mathematician,Stanford University
Joan Ferrini-Mundy,mathematician,University of New Hampshire
Margaret H. Wright,mathematician,Stanford University
Karolina Widerström,physician,Uppsala University
Alice H. Farnsworth,astronomer,Mount Holyoke College
Florence van Straten,chemist,New York University
Antonia Novello,physician,University of Puerto Rico
Mary Cleophas Garvin,mathematician,Fordham University
Carla Savage,computer scientist,University of Illinois system
Premala Sivaprakasapillai Sivasegaram,engineer,Somerville College
Fioralba Cakoni,mathematician,University of Patras
Teresa Anderson,astronomer,University of Manchester
Sally L. Wood,engineer,Stanford University
Tara Ruttley,engineer,Colorado State University
Esther Arkin,mathematician,Stanford University
Anna Pajor,mathematician,Jagiellonian University
Hadja Fatimata Ouattara,engineer,Humber College
Barbara Opozda,mathematician,Jagiellonian University
Polly Arnold,chemist,University of Oxford
Brigitta Pinkusowna Kowarskaja,computer scientist,Moldova State University
Marie Bashir,physician,University of Sydney
Barbara Pickersgill,botanist,Indiana University
Sara Seager,astronomer,University of Toronto
Pauline Newman,chemist,New York University School of Law
Camilla Hollanti,mathematician,University of Turku
Sophie LaRochelle,engineer,University of Arizona
Pilar Bermejo Barrera,chemist,Plymouth State University
Bernadine Healy,physician,Vassar College
Ginette Hamelin,engineer,"École spéciale des travaux publics, du bâtiment et de l'industrie"
Lynn J. Gillespie,botanist,"University of California, Davis"
Şebnem Korur Fincancı,physician,Istanbul University
Olga Sehnalová,physician,Masaryk University
Pardis C. Sabeti,biologist,Harvard Medical School
Lydia Sohn,engineer,Harvard University
باسمة موسى,physician,Cairo University
Kathie-Ann Joseph,physician,Harvard College
Runhild Gammelsæter,biologist,University of Oslo
Priscilla Chan,physician,Harvard University
Marjorie Lee Browne,mathematician,Howard University
Naomi Novik,programmer,Columbia University
Karla Aparicio,biologist,University of Panama
Cara Tannenbaum,physician,McGill University
Milada Vavrdová,botanist,"Faculty of Science, Charles University in Prague"
Cássia Beatriz Rodrigues Munhoz,botanist,University of Brasília
Teresa Anderson,physicist,University of Manchester
Bente Pakkenberg,physician,University of Copenhagen
Katharine Way,physicist,Vassar College
Maria Emelianenko,mathematician,Moscow State University
Shuchi Chawla,computer scientist,Indian Institute of Technology Delhi
Kate Carroll,chemist,Mills College
Kerstin Perez,physicist,California Institute of Technology
Teresa H. Meng,computer scientist,"University of California, Berkeley"
Elaine Surick Oran,computer scientist,Yale University
Safiye Ali,physician,Robert College
Sara Seager,physicist,University of Toronto
Daryl Haggard,astronomer,St. John's College
Adriana Cristina Serquis,physicist,Balseiro Institute
Nicole Stott,engineer,Clearwater High School
Mary Beckerle,biologist,University of Colorado Boulder
Věra Adámková,physician,Charles University
Sue Ion,engineer,Imperial College London
Felisa Wolfe-Simon,biologist,Oberlin College
Felecia M. Nave,chemist,Alcorn State University
Lydia Pasternak Slater,chemist,Moscow State Pedagogical University
Barbara J. Grosz,computer scientist,Cornell University
Adriana Calvo,physicist,National University of La Plata
Laura Guzmán-Dávalos,botanist,National Autonomous University of Mexico
Elisa Martín Garijo,mathematician,Complutense University of Madrid
Marcella Boveri,biologist,Massachusetts Institute of Technology
Denise Stephens,astronomer,Brigham Young University
Cynthia Maung,physician,University of Medicine 2
Nancy Leveson,engineer,"University of California, Los Angeles"
Louise Pearce,physician,Stanford University
Margaret Martonosi,computer scientist,Cornell University
Selma Feldbach,physician,University of Bern
Dorothy Popenoe,botanist,University of London
Valerie Daggett,biologist,"University of California, San Francisco"
Janet Akyüz Mattei,astronomer,Ege University
Brenda Pruden Winnewisser,physicist,Wellesley College
Reidun Twarock,mathematician,Clausthal University of Technology
Christiane Nüsslein-Volhard,biologist,University of Tübingen
Radha Kessar,mathematician,Panjab University
Jean Schwarzbauer,biologist,University of Wisconsin–Madison
Diane Greene,engineer,University of Vermont
Pamela Cook,mathematician,University of Rochester
Deanna Needell,mathematician,"University of California, Davis"
Heather Zar,physician,University of Cape Town
Amel Ben Abda,mathematician,Preparatory Institute for Engineering Studies of Nabeul
Maria T. Zuber,astronomer,Brown University
Marina Logares,mathematician,Autonomous University of Madrid
Mary M'Mukindia,chemist,University of Nairobi
Marie-Claude Gaudel,mathematician,Nancy-Université
Dolores Arturo Contreras Gómez,chemist,Autonomous University of Guerrero
Darleane C. Hoffman,chemist,Iowa State University
Maura Mast,mathematician,University of Notre Dame
Bonny L. Schumaker,physicist,California Institute of Technology
Mireille Bousquet-Mélou,mathematician,University of Bordeaux 1
Rosemary Boyton,biologist,Royal Free London NHS Foundation Trust
Iris Torriani,physicist,University of Buenos Aires
Sudha Murthy,computer scientist,B.V.B. College of Engineering and Technology
Sofya Raskhodnikova,computer scientist,Massachusetts Institute of Technology
Rosario Turner,physician,University of Panama
Jade Wang,programmer,Northwestern University
Maryam Sadeghi,computer scientist,Simon Fraser University
Lene Buhl-Mortensen,biologist,University of Gothenburg
Nikole Lewis,astronomer,Boston University
Caroline Series,mathematician,Somerville College
Andrea M. Ghez,astronomer,Massachusetts Institute of Technology
Lillian Nakate,engineer,Kyambogo University
Valeria Simoncini,mathematician,University of Padua
Antonina Pirožkova,engineer,Tomsk Polytechnic University
Dena Grayson,physician,Washington University in St. Louis
Uta Merzbach,mathematician,Harvard University
Kathie-Ann Joseph,physician,Columbia University Mailman School of Public Health
Anne D. Yoder,biologist,Duke University
Andrea M. Ghez,astronomer,California Institute of Technology
Anne D. Yoder,biologist,University of North Carolina at Chapel Hill
Sally Shlaer,engineer,Stanford University
Carla Savage,mathematician,University of Illinois system
Sophia Hennion Eckerson,botanist,Smith College
Viji M. Draviam,biologist,University of Cambridge
Martha May Eliot,physician,Radcliffe College
Juliana de Paula-Souza,botanist,University of Michigan
Kerstin Perez,physicist,Columbia University
Eun Sug Park,mathematician,Texas A&M University
Laura B. Eisenstein,physicist,Columbia University
Vanessa Northington Gamble,physician,Perelman School of Medicine at the University of Pennsylvania
Emily Blackwell,physician,Case Western Reserve University School of Medicine
Silvana Lucy Vallvé,biologist,Faculty of Natural Sciences and Museum of the National University of La Plata
Grethe Rytter Hasle,botanist,University of Oslo
Dawn R. Bazely,biologist,Somerville College
Kathleen Taylor,biologist,University of Oxford
Luba Robin Goldsmith,physician,University of Pittsburgh
Winona Hazel Welch,botanist,University of Illinois at Urbana–Champaign
Jemma Muradkhanyan,physician,University of Tabriz
Elaine Surick Oran,computer scientist,Bryn Mawr College
Anne-Marie Imafidon,mathematician,University of Oxford
Devra G. Kleiman,biologist,University of London
Fawzia Aldiria,physician,University of York
Raman Parimala,mathematician,Tata Institute of Fundamental Research
Kathryn Stecke,engineer,Purdue University
Gertrud Schüpbach,biologist,University of Zurich
Claudette MacKay-Lassonde,engineer,University of Toronto
Amalia Fleming,physician,National and Kapodistrian University of Athens
Elly Tanaka,biologist,Harvard University
Suhad Bahajri,chemist,University of Wales
Reihaneh Safavi-Naini,computer scientist,University of Waterloo
Catherine Coleman,engineer,Massachusetts Institute of Technology
Ina Antonava,physician,North Ossetian State Medical Academy
Mary Beckerle,biologist,Wells College
Amy Corbett,engineer,Eastwood High School
Charity Wayua,chemist,Purdue University
Canan Dağdeviren,engineer,Sabancı University
Terri Young,physician,Bowdoin College
Carin Bondar,biologist,University of British Columbia
Catherine Dufour,computer scientist,Claude Bernard University Lyon 1
Wendy K Adams,physicist,University of Northern Colorado
Lynn Bohs,botanist,Harvard University
Donna Auguste,engineer,"University of California, Berkeley"
Martha Isabel Fandiño Pinilla,mathematician,District University of Bogotá
Mei-Chu Chang,mathematician,"University of California, Berkeley"
Aurora Chirinos Pizarro,biologist,National University of San Marcos
Ami Radunskaya,mathematician,"University of California, Berkeley"
Joanna Hoffman,physicist,Massachusetts Institute of Technology
Yasui Kono,biologist,Ochanomizu University
Joan Hinton,physicist,University of Wisconsin–Madison
Nancy Thornberry,chemist,Muhlenberg College
Tamar Schlick,computer scientist,Courant Institute of Mathematical Sciences
Brigitta Pinkusowna Kowarskaja,physicist,Moldova State University
Sophia Jex-Blake,physician,University of Edinburgh
Montserrat Maritxalar,computer scientist,University of the Basque Country
Zuzana Kečkéšová,biologist,Charles University
Irene  Würdinger,biologist,University of Tübingen
Aurelie Thiele,computer scientist,Mines ParisTech
Rosa Efimovna Levina,botanist,Voronezh State University
Jennifer Wiseman,astronomer,Massachusetts Institute of Technology
Sofja Jakovlevna Zolotnitskaja,biologist,Georgian Technical University
Janina Milewska-Duda,chemist,AGH University of Science and Technology
Nadia Badawi,physician,University of Western Australia
Carolyn Bennett,physician,University of Toronto
Galina Matvievskaya,mathematician,Saint Petersburg State University
Renata Reisfeld,chemist,Hebrew University of Jerusalem
Manuela M. Veloso,computer scientist,Carnegie Mellon University
Gila Fruchter,mathematician,Tel Aviv University
Jennifer Mary Weller,physician,University of New South Wales
V. Narry Kim,biologist,University of Oxford
Sheelagh Carpendale,computer scientist,Simon Fraser University
Donna Blackmond,chemist,University of Pittsburgh
Veronika Rampold,physician,Ludwig Maximilian University of Munich
Alicia Escardó,engineer,Universidad de la República - Udelar
Ina Vandebroek,botanist,Ghent University
Lucy Oldfield,engineer,Bedford College
Rosario Turner,physician,Interamerican University of Panama
Victoria Wells Wulsin,physician,Radcliffe College
María Victoria Gil Álvarez,chemist,University of Extremadura
Maricela Cobuz,physician,Grigore T. Popa University of Medicine and Pharmacy
Magdalena Klimek-Ochab,engineer,Gdańsk University of Technology
Susan La Flesche Picotte,physician,Hampton Institute
Anna C. Balazs,engineer,Massachusetts Institute of Technology
Pamela Liebeck,mathematician,Somerville College
Mythily Ramaswamy,mathematician,Pierre and Marie Curie University
Yekaterina Speranskaya,chemist,Al-Farabi Kazakh National University
Sally Floyd,computer scientist,Merritt College
Ada Prins,chemist,University of Amsterdam
Elaine Surick Oran,physicist,Yale University
Rosa Galvez,engineer,National University of Engineering
Türkan Akyol,physician,Ankara University
Margarita Zatzkin,physician,National University of Córdoba
Florence Yeldham,mathematician,Bedford College
Q28497595,biologist,Kharkiv National Agrarian University named after V.V. Dokuchayev
Agnes Fay Morgan,chemist,University of Chicago
Agnes Arber,botanist,North London Collegiate School
Lillie Rosa Minoka Hill,physician,Woman's Medical College of Pennsylvania
Müfide Küley,physician,Istanbul School of Medicine
Patricia A. Gabow,physician,Seton Hill University
Maria Wetterstrand,biologist,University of Gothenburg
Mariangela Lisanti,physicist,Stanford University
Nicola Stonehouse,biologist,University of Leeds
Fern Hunt,mathematician,Courant Institute of Mathematical Sciences
Helen Porter,botanist,University of London
Anna Erschler,mathematician,Saint Petersburg State University
Magnhild Lien,mathematician,University of Iowa
Magnhild Lien,mathematician,McGill University
Liudmyla Shpynova,chemist,Lviv Polytechnic
Irina Ivshina,biologist,Perm State University
Ann S. Almgren,mathematician,"University of California, Berkeley"
Marie A. Vitulli,mathematician,University of Rochester
Dorothy Hodgkin,biologist,Newnham College
Mary Dixon Jones,physician,Ohio Wesleyan University
Barbara Jacak,physicist,National Superconducting Cyclotron Laboratory
Katharine Blodgett Gebbie,physicist,University College London
Mary Speer,mathematician,University of Pittsburgh
Amarilis de Varennes,botanist,Technical University of Lisbon
Eleanor Jones,mathematician,Howard University
Betsy Rivers Jackes,botanist,University of Chicago
Barbara Gertrude Yates,mathematician,University of Aberdeen
Natalia Tanner,physician,Meharry Medical College
Amy S Mullin,chemist,"University of California, Santa Cruz"
Karen Saxe,mathematician,University of Oregon
Radha Kessar,mathematician,Ohio State University
Helen Dean King,biologist,Bryn Mawr College
Lucy Campbell,mathematician,Kwame Nkrumah University of Science and Technology
Mina Bissell,biologist,Bryn Mawr College
Ayana Holloway Arce,physicist,Harvard University
Nataliya Lenhauer,physician,Bogomolets National Medical University
M. E. Thompson Coppin,physician,Woman's Medical College of Pennsylvania
Bettye Washington Greene,engineer,Wayne State University
Julia Goodfellow,physicist,University of Bristol
Audrey Terras,mathematician,Yale University
Barbara J. Thompson,physicist,University of Pennsylvania
Rosângela Capuano Tardivo,botanist,Pontifícia Universidade Católica do Paraná
Anandi Gopal Joshi,physician,Woman's Medical College of Pennsylvania
Carol Karp,mathematician,Manchester University
Frances Cave-Browne-Cave,mathematician,Girton College
Olena Shved,chemist,Vasyl' Stus Donetsk National University
Madeleine M. Joullié,chemist,University of Pennsylvania
Kathleen Lonsdale,engineer,University College London
Vanessa Proux,biologist,University of Technology of Compiègne
Katie Hinde,biologist,"University of California, Los Angeles"
Christine Silberhorn,physicist,University of Erlangen-Nuremberg
Nancy M. Amato,engineer,"University of California, Berkeley"
